name,url
Judicial Politics,"https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxwb2xpc2NpbmVpaGVpc2VsfGd4OjIzNDcyN2EzNDM0MmRlOA"
Political Parties in the American Mold,"https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxwb2xpc2NpbmVpaGVpc2VsfGd4OjE4ZmM5Yjg2OTE0YjQzMDU"
Election Reform in America,"https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxwb2xpc2NpbmVpaGVpc2VsfGd4OjZiMTFlYTA2ZTc0MDgwZDE"
Introduction to American Politics,"https://docs.google.com/viewer?a=v&pid=sites&srcid=ZGVmYXVsdGRvbWFpbnxwb2xpc2NpbmVpaGVpc2VsfGd4OjVhODI2YjQ0NDI4Y2RkMjg"
